fecha,num_transacciones,ingresos,ticket_promedio,unidades
2024-05-19,35,551.2,15.75,86
2024-05-20,25,457.11,18.28,63
2024-05-21,29,615.73,21.23,77
2024-05-22,29,426.25,14.7,67
2024-05-23,24,539.09,22.46,46
2024-05-24,23,269.84,11.73,59
2024-05-25,28,332.94,11.89,65
2024-05-26,26,280.48,10.79,65
2024-05-27,33,448.98,13.61,78
2024-05-28,21,387.85,18.47,51
2024-05-29,22,301.99,13.73,57
2024-05-30,24,570.93,23.79,61
2024-05-31,29,505.99,17.45,70
2024-06-01,33,511.4,15.5,82
2024-06-02,29,458.68,15.82,77
2024-06-03,31,335.05,10.81,76
2024-06-04,20,168.95,8.45,49
2024-06-05,33,430.66,13.05,70
2024-06-06,22,320.32,14.56,56
2024-06-07,17,295.49,17.38,45
2024-06-08,22,307.54,13.98,54
2024-06-09,27,534.53,19.8,59
2024-06-10,27,381.89,14.14,65
2024-06-11,27,462.52,17.13,57
2024-06-12,22,495.43,22.52,57
2024-06-13,23,349.88,15.21,55
2024-06-14,31,264.88,8.54,67
2024-06-15,27,559.21,20.71,67
2024-06-16,14,168.22,12.02,30
2024-06-17,27,530.61,19.65,70
2024-06-18,23,461.31,20.06,54
2024-06-19,32,379.42,11.86,76
2024-06-20,14,244.27,17.45,31
2024-06-21,26,494.96,19.04,76
2024-06-22,27,410.19,15.19,69
2024-06-23,22,370.51,16.84,56
2024-06-24,24,330.62,13.78,47
2024-06-25,18,258.28,14.35,44
2024-06-26,24,298.67,12.44,55
2024-06-27,32,344.98,10.78,73
2024-06-28,32,499.69,15.62,67
2024-06-29,20,264.43,13.22,48
2024-06-30,19,261.06,13.74,46
2024-07-01,30,297.24,9.91,72
2024-07-02,22,350.05,15.91,55
2024-07-03,30,364.34,12.14,60
2024-07-04,17,241.75,14.22,43
2024-07-05,27,408.45,15.13,57
2024-07-06,24,358.93,14.96,56
2024-07-07,22,596.08,27.09,52
2024-07-08,25,522.49,20.9,52
2024-07-09,25,328.38,13.14,60
2024-07-10,30,431.24,14.37,70
2024-07-11,26,347.52,13.37,65
2024-07-12,26,358.06,13.77,59
2024-07-13,33,294.1,8.91,65
2024-07-14,24,442.46,18.44,50
2024-07-15,29,358.11,12.35,65
2024-07-16,28,474.83,16.96,68
2024-07-17,28,431.55,15.41,67
2024-07-18,17,230.21,13.54,45
2024-07-19,23,317.98,13.83,51
2024-07-20,28,348.32,12.44,66
2024-07-21,18,244.33,13.57,46
2024-07-22,25,321.53,12.86,58
2024-07-23,33,426.62,12.93,69
2024-07-24,19,218.02,11.47,44
2024-07-25,20,367.69,18.38,54
2024-07-26,24,290.31,12.1,59
2024-07-27,27,634.85,23.51,62
2024-07-28,25,338.51,13.54,52
2024-07-29,21,341.96,16.28,50
2024-07-30,15,368.94,24.6,37
2024-07-31,30,544.57,18.15,76
2024-08-01,32,402.61,12.58,82
2024-08-02,28,264.45,9.44,62
2024-08-03,29,632.48,21.81,77
2024-08-04,22,403.83,18.36,49
2024-08-05,26,251.33,9.67,48
2024-08-06,16,252.94,15.81,46
2024-08-07,30,470.94,15.7,68
2024-08-08,41,510.59,12.45,97
2024-08-09,32,719.77,22.49,79
2024-08-10,30,535.35,17.85,80
2024-08-11,26,335.36,12.9,61
2024-08-12,28,441.45,15.77,62
2024-08-13,25,445.85,17.83,58
2024-08-14,25,360.63,14.43,59
2024-08-15,23,392.45,17.06,54
2024-08-16,30,555.32,18.51,67
2024-08-17,19,322.84,16.99,48
2024-08-18,23,189.01,8.22,49
2024-08-19,25,394.06,15.76,57
2024-08-20,25,392.39,15.7,52
2024-08-21,30,573.86,19.13,68
2024-08-22,29,498.63,17.19,67
2024-08-23,21,355.78,16.94,48
2024-08-24,31,320.8,10.35,74
2024-08-25,17,267.05,15.71,43
2024-08-26,19,262.07,13.79,45
2024-08-27,24,456.19,19.01,71
2024-08-28,15,166.24,11.08,35
2024-08-29,26,500.76,19.26,63
2024-08-30,29,326.4,11.26,69
2024-08-31,29,389.52,13.43,59
