venta_id,timestamp,producto,categoria,precio_unit,cantidad,total,proveedor_id,fecha,hora,dia_sem,mes,semana
52,2024-02-22 14:32:00,Jabón Bolivar 230g,Limpieza,2.76,2,5.52,6,2024-02-22,14,Thursday,2,8
53,2024-01-24 14:02:00,Pepsi 500ml,Bebidas,2.28,1,2.28,2,2024-01-24,14,Wednesday,1,4
54,2024-06-12 11:47:00,Leche Evaporada Gloria,Lácteos,3.21,2,6.42,3,2024-06-12,11,Wednesday,6,24
55,2024-05-23 07:56:00,Pañales Huggies T4 x28,Higiene,34.82,3,104.46,6,2024-05-23,7,Thursday,5,21
56,2024-01-10 10:27:00,Chancay 60g,Panadería,0.49,1,0.49,8,2024-01-10,10,Wednesday,1,2
57,2024-08-18 07:57:00,Detergente Ace 850g,Limpieza,11.69,2,23.38,6,2024-08-18,7,Sunday,8,33
58,2024-06-19 09:56:00,Sal Marina 1kg,Abarrotes,1.54,4,6.16,5,2024-06-19,9,Wednesday,6,25
59,2024-08-24 11:51:00,Yogurt Gloria Fresa 1kg,Lácteos,6.65,1,6.65,3,2024-08-24,11,Saturday,8,34
60,2024-02-15 16:50:00,Inca Kola 1.5L,Bebidas,5.6,4,22.4,1,2024-02-15,16,Thursday,2,7
61,2024-03-09 09:06:00,Sal Marina 1kg,Abarrotes,1.53,4,6.12,5,2024-03-09,9,Saturday,3,10
62,2024-02-26 08:22:00,Galletas Oreo 36g,Snacks,1.53,2,3.06,7,2024-02-26,8,Monday,2,9
63,2024-02-27 07:25:00,Azúcar Cartavio 1kg,Abarrotes,3.45,3,10.35,5,2024-02-27,7,Tuesday,2,9
64,2024-07-16 09:32:00,Agua San Luis 500ml,Bebidas,1.21,4,4.84,1,2024-07-16,9,Tuesday,7,29
65,2024-03-25 09:56:00,Chancay 60g,Panadería,0.49,2,0.98,8,2024-03-25,9,Monday,3,13
66,2024-01-10 08:22:00,Fideos Don Vittorio 500g,Abarrotes,2.79,3,8.37,4,2024-01-10,8,Wednesday,1,2
67,2024-01-30 20:16:00,Chifles La Doña 80g,Snacks,2.03,1,2.03,7,2024-01-30,20,Tuesday,1,5
68,2024-05-13 12:23:00,Inca Kola 500ml,Bebidas,2.44,4,9.76,1,2024-05-13,12,Monday,5,20
69,2024-06-08 20:46:00,Jabón Bolivar 230g,Limpieza,2.8,2,5.6,6,2024-06-08,20,Saturday,6,23
70,2024-03-24 21:35:00,Pañales Huggies T3 x30,Higiene,31.9,1,31.9,6,2024-03-24,21,Sunday,3,12
71,2024-06-22 11:39:00,Lejía Clorox 900ml,Limpieza,4.45,3,13.35,6,2024-06-22,11,Saturday,6,25
72,2024-08-01 08:13:00,Pan de Molde Bimbo 500g,Panadería,6.61,2,13.22,8,2024-08-01,8,Thursday,8,31
73,2024-04-29 20:32:00,Sardina Florida 425g,Conservas,4.27,2,8.54,4,2024-04-29,20,Monday,4,18
74,2024-06-17 09:42:00,Aceite Primor 1L,Abarrotes,8.81,5,44.05,4,2024-06-17,9,Monday,6,25
75,2024-06-21 20:09:00,Sal Marina 1kg,Abarrotes,1.46,1,1.46,5,2024-06-21,20,Friday,6,25
76,2024-06-05 08:29:00,Galletas Oreo 36g,Snacks,1.53,2,3.06,7,2024-06-05,8,Wednesday,6,23
77,2024-02-19 18:31:00,Mantequilla Gloria 100g,Lácteos,4.14,2,8.28,3,2024-02-19,18,Monday,2,8
78,2024-08-16 09:49:00,Inca Kola 500ml,Bebidas,2.46,4,9.84,1,2024-08-16,9,Friday,8,33
79,2024-04-28 07:58:00,Sublime 36g,Snacks,1.5,1,1.5,7,2024-04-28,7,Sunday,4,17
80,2024-06-19 21:48:00,Pasta Dental Colgate,Higiene,5.54,2,11.08,6,2024-06-19,21,Wednesday,6,25
81,2024-04-19 20:57:00,Chifles La Doña 80g,Snacks,2.03,1,2.03,7,2024-04-19,20,Friday,4,16
82,2024-04-25 07:53:00,Galletas Oreo 36g,Snacks,1.48,3,4.44,7,2024-04-25,7,Thursday,4,17
83,2024-05-04 14:28:00,Sublime 36g,Snacks,1.52,1,1.52,7,2024-05-04,14,Saturday,5,18
84,2024-03-10 20:08:00,Sal Marina 1kg,Abarrotes,1.48,2,2.96,5,2024-03-10,20,Sunday,3,10
85,2024-06-29 08:26:00,Yogurt Gloria Fresa 1kg,Lácteos,6.52,2,13.04,3,2024-06-29,8,Saturday,6,26
86,2024-01-16 08:24:00,Pañales Huggies T3 x30,Higiene,33.37,3,100.11,6,2024-01-16,8,Tuesday,1,3
87,2024-08-07 18:30:00,Inca Kola 1.5L,Bebidas,5.65,1,5.65,1,2024-08-07,18,Wednesday,8,32
88,2024-07-11 21:34:00,Atún Florida 170g,Conservas,3.95,3,11.85,4,2024-07-11,21,Thursday,7,28
89,2024-05-04 08:31:00,Azúcar Cartavio 1kg,Abarrotes,3.48,1,3.48,5,2024-05-04,8,Saturday,5,18
90,2024-07-04 08:58:00,Papel Higiénico Elite x4,Higiene,9.16,1,9.16,6,2024-07-04,8,Thursday,7,27
91,2024-01-07 06:05:00,Chancay 60g,Panadería,0.5,3,1.5,8,2024-01-07,6,Sunday,1,1
92,2024-02-16 08:20:00,Pasta Dental Colgate,Higiene,5.49,1,5.49,6,2024-02-16,8,Friday,2,7
93,2024-07-13 14:48:00,Jabón Bolivar 230g,Limpieza,2.76,2,5.52,6,2024-07-13,14,Saturday,7,28
94,2024-04-30 09:03:00,Agua San Luis 2.5L,Bebidas,3.44,3,10.32,1,2024-04-30,9,Tuesday,4,18
95,2024-07-18 07:48:00,Agua San Luis 500ml,Bebidas,1.23,1,1.23,1,2024-07-18,7,Thursday,7,29
96,2024-08-02 07:15:00,Arroz Costeño 1kg,Abarrotes,3.79,2,7.58,4,2024-08-02,7,Friday,8,31
97,2024-05-24 20:44:00,Leche Gloria Light 1L,Lácteos,4.98,2,9.96,3,2024-05-24,20,Friday,5,21
98,2024-06-04 09:49:00,Aceite Primor 1L,Abarrotes,9.15,2,18.3,4,2024-06-04,9,Tuesday,6,23
99,2024-05-28 08:36:00,Leche Gloria Entera 1L,Lácteos,4.92,3,14.76,3,2024-05-28,8,Tuesday,5,22
100,2024-04-11 12:04:00,Lejía Clorox 900ml,Limpieza,4.55,3,13.65,6,2024-04-11,12,Thursday,4,15
101,2024-01-27 15:54:00,Sal Marina 1kg,Abarrotes,1.53,5,7.65,5,2024-01-27,15,Saturday,1,4
102,2024-07-19 09:27:00,Mantequilla Gloria 100g,Lácteos,4.17,3,12.51,3,2024-07-19,9,Friday,7,29
103,2024-06-14 21:52:00,Chifles La Doña 80g,Snacks,1.95,2,3.9,7,2024-06-14,21,Friday,6,24
104,2024-06-11 20:45:00,Detergente Ace 850g,Limpieza,11.85,1,11.85,6,2024-06-11,20,Tuesday,6,24
105,2024-06-15 09:49:00,Sublime 36g,Snacks,1.5,2,3.0,7,2024-06-15,9,Saturday,6,24
106,2024-03-09 20:53:00,Queso Edam Gloria 250g,Lácteos,12.33,1,12.33,3,2024-03-09,20,Saturday,3,10
107,2024-03-03 18:21:00,Shampoo Head&Shoulders,Higiene,18.49,1,18.49,6,2024-03-03,18,Sunday,3,9
108,2024-02-16 21:51:00,Sardina Florida 425g,Conservas,4.16,2,8.32,4,2024-02-16,21,Friday,2,7
109,2024-05-22 07:05:00,Fideos Lavaggi 500g,Abarrotes,2.53,2,5.06,4,2024-05-22,7,Wednesday,5,21
110,2024-05-22 21:41:00,Galletas Soda Field,Snacks,2.8,3,8.4,7,2024-05-22,21,Wednesday,5,21
111,2024-01-24 08:44:00,Inca Kola 1.5L,Bebidas,5.44,2,10.88,1,2024-01-24,8,Wednesday,1,4
112,2024-04-04 21:27:00,Queso Edam Gloria 250g,Lácteos,12.54,3,37.62,3,2024-04-04,21,Thursday,4,14
113,2024-06-28 21:16:00,Detergente Ariel 850g,Limpieza,12.22,1,12.22,6,2024-06-28,21,Friday,6,26
114,2024-03-21 09:48:00,Arroz Costeño 1kg,Abarrotes,3.73,2,7.46,4,2024-03-21,9,Thursday,3,12
115,2024-03-11 15:06:00,Galletas Oreo 36g,Snacks,1.48,1,1.48,7,2024-03-11,15,Monday,3,11
116,2024-02-15 20:17:00,Detergente Ace 850g,Limpieza,12.24,1,12.24,6,2024-02-15,20,Thursday,2,7
117,2024-03-15 10:40:00,Pan de Molde Bimbo 500g,Panadería,6.35,2,12.7,8,2024-03-15,10,Friday,3,11
118,2024-05-26 08:28:00,Inca Kola 500ml,Bebidas,2.45,3,7.35,1,2024-05-26,8,Sunday,5,21
119,2024-03-05 21:07:00,Pepsi 500ml,Bebidas,2.29,1,2.29,2,2024-03-05,21,Tuesday,3,10
120,2024-05-27 07:09:00,Agua San Luis 500ml,Bebidas,1.22,2,2.44,1,2024-05-27,7,Monday,5,22
121,2024-01-22 09:35:00,Atún Florida 170g,Conservas,3.92,2,7.84,4,2024-01-22,9,Monday,1,4
122,2024-07-17 21:58:00,Azúcar Cartavio 1kg,Abarrotes,3.46,4,13.84,5,2024-07-17,21,Wednesday,7,29
123,2024-04-19 20:39:00,Queso Edam Gloria 250g,Lácteos,12.2,3,36.6,3,2024-04-19,20,Friday,4,16
124,2024-06-09 09:05:00,Arroz Costeño 5kg,Abarrotes,17.23,2,34.46,4,2024-06-09,9,Sunday,6,23
125,2024-01-20 08:28:00,Pan de Molde Bimbo 500g,Panadería,6.54,3,19.62,8,2024-01-20,8,Saturday,1,3
126,2024-01-09 09:18:00,Harina Blanca Flor 1kg,Abarrotes,3.12,4,12.48,4,2024-01-09,9,Tuesday,1,2
127,2024-08-24 09:37:00,Azúcar Cartavio 1kg,Abarrotes,3.48,2,6.96,5,2024-08-24,9,Saturday,8,34
128,2024-02-27 14:52:00,Chancay 60g,Panadería,0.49,1,0.49,8,2024-02-27,14,Tuesday,2,9
129,2024-07-21 21:28:00,Aceite Primor 1L,Abarrotes,8.88,1,8.88,4,2024-07-21,21,Sunday,7,29
130,2024-06-28 21:32:00,Atún Florida 170g,Conservas,3.9,3,11.7,4,2024-06-28,21,Friday,6,26
131,2024-06-02 08:47:00,Agua San Luis 2.5L,Bebidas,3.52,3,10.56,1,2024-06-02,8,Sunday,6,22
132,2024-01-24 09:53:00,Inca Kola 1.5L,Bebidas,5.53,5,27.65,1,2024-01-24,9,Wednesday,1,4
133,2024-07-14 14:36:00,Inca Kola 1.5L,Bebidas,5.59,1,5.59,1,2024-07-14,14,Sunday,7,28
134,2024-04-30 21:58:00,Aceite Primor 500ml,Abarrotes,5.1,3,15.3,4,2024-04-30,21,Tuesday,4,18
135,2024-04-21 21:05:00,Queso Edam Gloria 250g,Lácteos,12.39,2,24.78,3,2024-04-21,21,Sunday,4,16
136,2024-03-23 11:21:00,Jabón Bolivar 230g,Limpieza,2.83,2,5.66,6,2024-03-23,11,Saturday,3,12
137,2024-06-18 07:29:00,Harina Blanca Flor 1kg,Abarrotes,3.16,1,3.16,4,2024-06-18,7,Tuesday,6,25
138,2024-01-30 18:55:00,Sardina Florida 425g,Conservas,4.28,3,12.84,4,2024-01-30,18,Tuesday,1,5
139,2024-06-17 20:26:00,Inca Kola 500ml,Bebidas,2.45,1,2.45,1,2024-06-17,20,Monday,6,25
140,2024-06-08 20:48:00,Detergente Ace 850g,Limpieza,11.69,1,11.69,6,2024-06-08,20,Saturday,6,23
141,2024-02-03 20:56:00,Pan de Molde Bimbo 500g,Panadería,6.49,3,19.47,8,2024-02-03,20,Saturday,2,5
142,2024-06-10 13:45:00,Inca Kola 1.5L,Bebidas,5.44,2,10.88,1,2024-06-10,13,Monday,6,24
143,2024-05-21 20:53:00,Inca Kola 500ml,Bebidas,2.49,1,2.49,1,2024-05-21,20,Tuesday,5,21
144,2024-06-14 21:59:00,Leche Gloria Light 1L,Lácteos,4.84,3,14.52,3,2024-06-14,21,Friday,6,24
145,2024-04-16 21:15:00,Fideos Lavaggi 500g,Abarrotes,2.51,4,10.04,4,2024-04-16,21,Tuesday,4,16
146,2024-02-18 10:55:00,Lejía Clorox 900ml,Limpieza,4.44,1,4.44,6,2024-02-18,10,Sunday,2,7
147,2024-03-28 14:52:00,Pañales Huggies T3 x30,Higiene,32.08,1,32.08,6,2024-03-28,14,Thursday,3,13
148,2024-08-02 21:55:00,Atún Florida 170g,Conservas,3.89,1,3.89,4,2024-08-02,21,Friday,8,31
149,2024-03-29 21:29:00,Galletas Oreo 36g,Snacks,1.53,2,3.06,7,2024-03-29,21,Friday,3,13
150,2024-05-26 21:02:00,Sal Marina 1kg,Abarrotes,1.52,3,4.56,5,2024-05-26,21,Sunday,5,21
151,2024-04-08 10:31:00,Lejía Clorox 900ml,Limpieza,4.4,1,4.4,6,2024-04-08,10,Monday,4,15
152,2024-03-25 20:06:00,Queso Edam Gloria 250g,Lácteos,12.81,3,38.43,3,2024-03-25,20,Monday,3,13
153,2024-07-03 09:09:00,Inca Kola 500ml,Bebidas,2.5,1,2.5,1,2024-07-03,9,Wednesday,7,27
154,2024-03-27 18:41:00,Fideos Don Vittorio 500g,Abarrotes,2.86,1,2.86,4,2024-03-27,18,Wednesday,3,13
155,2024-04-07 21:55:00,Chancay 60g,Panadería,0.49,3,1.47,8,2024-04-07,21,Sunday,4,14
156,2024-03-01 15:14:00,Agua San Luis 500ml,Bebidas,1.2,1,1.2,1,2024-03-01,15,Friday,3,9
157,2024-07-13 09:28:00,Leche Gloria Entera 1L,Lácteos,4.86,1,4.86,3,2024-07-13,9,Saturday,7,28
158,2024-01-12 20:18:00,Inca Kola 1.5L,Bebidas,5.46,3,16.38,1,2024-01-12,20,Friday,1,2
159,2024-03-03 20:10:00,Yogurt Gloria Fresa 1kg,Lácteos,6.34,1,6.34,3,2024-03-03,20,Sunday,3,9
160,2024-06-07 21:58:00,Lejía Clorox 900ml,Limpieza,4.4,3,13.2,6,2024-06-07,21,Friday,6,23
161,2024-06-12 08:42:00,Pasta Dental Colgate,Higiene,5.63,1,5.63,6,2024-06-12,8,Wednesday,6,24
162,2024-08-18 09:10:00,Pasta Dental Colgate,Higiene,5.48,1,5.48,6,2024-08-18,9,Sunday,8,33
163,2024-05-30 08:44:00,Detergente Ariel 850g,Limpieza,12.47,2,24.94,6,2024-05-30,8,Thursday,5,22
164,2024-02-20 21:06:00,Atún Florida 170g,Conservas,3.87,1,3.87,4,2024-02-20,21,Tuesday,2,8
165,2024-05-27 09:18:00,Detergente Ariel 850g,Limpieza,12.86,1,12.86,6,2024-05-27,9,Monday,5,22
166,2024-03-11 09:49:00,Papel Higiénico Elite x4,Higiene,9.15,3,27.45,6,2024-03-11,9,Monday,3,11
167,2024-08-01 15:49:00,Galletas Soda Field,Snacks,2.82,1,2.82,7,2024-08-01,15,Thursday,8,31
168,2024-02-26 14:43:00,Detergente Ariel 850g,Limpieza,12.7,3,38.1,6,2024-02-26,14,Monday,2,9
169,2024-06-09 09:41:00,Leche Evaporada Gloria,Lácteos,3.16,1,3.16,3,2024-06-09,9,Sunday,6,23
170,2024-01-09 10:05:00,Shampoo Head&Shoulders,Higiene,18.31,2,36.62,6,2024-01-09,10,Tuesday,1,2
171,2024-02-14 09:56:00,Pañales Huggies T3 x30,Higiene,32.56,2,65.12,6,2024-02-14,9,Wednesday,2,7
172,2024-07-31 08:51:00,Fideos Lavaggi 500g,Abarrotes,2.54,3,7.62,4,2024-07-31,8,Wednesday,7,31
173,2024-07-24 07:09:00,Jabón Bolivar 230g,Limpieza,2.86,1,2.86,6,2024-07-24,7,Wednesday,7,30
174,2024-08-04 17:05:00,Papel Higiénico Elite x4,Higiene,8.64,2,17.28,6,2024-08-04,17,Sunday,8,31
175,2024-02-01 21:37:00,Chancay 60g,Panadería,0.51,2,1.02,8,2024-02-01,21,Thursday,2,5
176,2024-01-28 21:01:00,Detergente Ace 850g,Limpieza,12.17,3,36.51,6,2024-01-28,21,Sunday,1,4
177,2024-03-24 13:41:00,Pan de Molde Bimbo 500g,Panadería,6.55,1,6.55,8,2024-03-24,13,Sunday,3,12
178,2024-08-20 19:07:00,Pasta Dental Colgate,Higiene,5.35,1,5.35,6,2024-08-20,19,Tuesday,8,34
179,2024-03-18 09:06:00,Coca-Cola 500ml,Bebidas,2.56,2,5.12,2,2024-03-18,9,Monday,3,12
180,2024-04-09 21:37:00,Leche Evaporada Gloria,Lácteos,3.24,3,9.72,3,2024-04-09,21,Tuesday,4,15
181,2024-06-16 08:39:00,Pañales Huggies T3 x30,Higiene,33.36,2,66.72,6,2024-06-16,8,Sunday,6,24
182,2024-01-09 12:28:00,Fideos Lavaggi 500g,Abarrotes,2.57,4,10.28,4,2024-01-09,12,Tuesday,1,2
183,2024-01-26 17:34:00,Detergente Ace 850g,Limpieza,11.8,3,35.4,6,2024-01-26,17,Friday,1,4
184,2024-03-11 07:54:00,Papel Higiénico Elite x4,Higiene,8.68,2,17.36,6,2024-03-11,7,Monday,3,11
185,2024-06-13 06:03:00,Arroz Costeño 5kg,Abarrotes,17.23,3,51.69,4,2024-06-13,6,Thursday,6,24
186,2024-07-20 08:53:00,Leche Evaporada Gloria,Lácteos,3.14,3,9.42,3,2024-07-20,8,Saturday,7,29
187,2024-07-27 16:49:00,Arroz Costeño 5kg,Abarrotes,17.8,2,35.6,4,2024-07-27,16,Saturday,7,30
188,2024-03-11 10:08:00,Inca Kola 500ml,Bebidas,2.46,5,12.3,1,2024-03-11,10,Monday,3,11
189,2024-01-29 06:08:00,Aceite Primor 500ml,Abarrotes,5.16,1,5.16,4,2024-01-29,6,Monday,1,5
190,2024-05-30 20:16:00,Sal Marina 1kg,Abarrotes,1.47,1,1.47,5,2024-05-30,20,Thursday,5,22
191,2024-05-14 07:30:00,Pañales Huggies T3 x30,Higiene,33.04,2,66.08,6,2024-05-14,7,Tuesday,5,20
192,2024-05-31 09:14:00,Chifles La Doña 80g,Snacks,1.95,3,5.85,7,2024-05-31,9,Friday,5,22
193,2024-03-18 20:03:00,Sublime 36g,Snacks,1.53,2,3.06,7,2024-03-18,20,Monday,3,12
194,2024-06-24 09:58:00,Pañales Huggies T4 x28,Higiene,33.13,2,66.26,6,2024-06-24,9,Monday,6,26
195,2024-03-23 08:08:00,Agua San Luis 2.5L,Bebidas,3.53,3,10.59,1,2024-03-23,8,Saturday,3,12
196,2024-05-20 18:38:00,Queso Edam Gloria 250g,Lácteos,12.35,3,37.05,3,2024-05-20,18,Monday,5,21
197,2024-06-03 20:54:00,Chifles La Doña 80g,Snacks,2.02,3,6.06,7,2024-06-03,20,Monday,6,23
198,2024-07-03 19:28:00,Pan de Molde Bimbo 500g,Panadería,6.47,1,6.47,8,2024-07-03,19,Wednesday,7,27
199,2024-04-12 20:20:00,Pasta Dental Colgate,Higiene,5.44,2,10.88,6,2024-04-12,20,Friday,4,15
200,2024-04-05 21:04:00,Fideos Don Vittorio 500g,Abarrotes,2.86,1,2.86,4,2024-04-05,21,Friday,4,14
201,2024-04-20 09:23:00,Agua San Luis 2.5L,Bebidas,3.51,2,7.02,1,2024-04-20,9,Saturday,4,16
202,2024-05-23 09:26:00,Queso Edam Gloria 250g,Lácteos,12.78,2,25.56,3,2024-05-23,9,Thursday,5,21
203,2024-08-10 07:18:00,Pañales Huggies T4 x28,Higiene,33.62,3,100.86,6,2024-08-10,7,Saturday,8,32
204,2024-05-27 20:42:00,Leche Gloria Entera 1L,Lácteos,4.72,2,9.44,3,2024-05-27,20,Monday,5,22
205,2024-03-30 17:07:00,Leche Gloria Entera 1L,Lácteos,4.82,2,9.64,3,2024-03-30,17,Saturday,3,13
206,2024-08-04 06:38:00,Pañales Huggies T4 x28,Higiene,34.67,3,104.01,6,2024-08-04,6,Sunday,8,31
207,2024-01-08 09:48:00,Fideos Lavaggi 500g,Abarrotes,2.56,3,7.68,4,2024-01-08,9,Monday,1,2
208,2024-01-02 07:36:00,Detergente Ariel 850g,Limpieza,12.43,3,37.29,6,2024-01-02,7,Tuesday,1,1
209,2024-07-08 06:05:00,Yogurt Gloria Fresa 1kg,Lácteos,6.51,3,19.53,3,2024-07-08,6,Monday,7,28
210,2024-04-17 20:23:00,Lejía Clorox 900ml,Limpieza,4.56,2,9.12,6,2024-04-17,20,Wednesday,4,16
211,2024-06-01 07:09:00,Mantequilla Gloria 100g,Lácteos,4.26,1,4.26,3,2024-06-01,7,Saturday,6,22
212,2024-06-21 08:42:00,Pepsi 500ml,Bebidas,2.3,4,9.2,2,2024-06-21,8,Friday,6,25
213,2024-04-16 09:07:00,Shampoo Head&Shoulders,Higiene,18.42,2,36.84,6,2024-04-16,9,Tuesday,4,16
214,2024-06-22 21:33:00,Harina Blanca Flor 1kg,Abarrotes,3.11,3,9.33,4,2024-06-22,21,Saturday,6,25
215,2024-06-02 07:19:00,Papel Higiénico Elite x4,Higiene,9.04,1,9.04,6,2024-06-02,7,Sunday,6,22
216,2024-03-15 20:31:00,Fideos Don Vittorio 500g,Abarrotes,2.75,4,11.0,4,2024-03-15,20,Friday,3,11
217,2024-05-16 17:04:00,Lejía Clorox 900ml,Limpieza,4.6,2,9.2,6,2024-05-16,17,Thursday,5,20
218,2024-04-21 07:55:00,Coca-Cola 500ml,Bebidas,2.51,3,7.53,2,2024-04-21,7,Sunday,4,16
